series_id,history_length,start_offset,model,horizon,mae,rmse,mape
RSGASS,6,0,Prophet,12,140.27391721713093,220.76332022583827,1.0552464225354876
RSGASS,6,0,ARIMA,6,355.3430883611263,388.69093515231083,2.709465093661224
RSGASS,6,0,ARIMA,12,494.4746618251626,527.7739372985956,3.731080566341285
RSGASS,6,0,LinearRegression,6,290.8476190476179,309.1036314344847,2.219986715819536
RSGASS,6,0,LinearRegression,12,334.35476190476084,350.840917396656,2.5266065245936464
RSGASS,6,198,Prophet,6,14182.927928721489,16268.580200573748,46.44886779443542
RSGASS,6,198,Prophet,12,28738.30086032182,33207.93686111599,84.58394728197752
RSGASS,6,198,ARIMA,6,2123.8776975541005,2640.6941115612717,6.858362392989413
RSGASS,6,198,ARIMA,12,4708.4610308874335,5569.32894124368,13.762874170784404
RSGASS,6,198,LinearRegression,6,14355.276190476192,16471.796168576708,47.01970987577584
RSGASS,6,198,LinearRegression,12,28977.83095238096,33458.0523073448,85.30725658458282
RSGASS,6,396,Prophet,6,2621.969089845284,2750.1903739069126,4.997164677675523
RSGASS,6,396,Prophet,12,6341.966013644581,8162.751510169984,10.790943246283668
RSGASS,6,396,ARIMA,6,1762.9219574255403,1841.1466973890028,3.360170926198064
RSGASS,6,396,ARIMA,12,4898.588624092207,6698.123398657353,8.249910766257546
RSGASS,6,396,LinearRegression,6,4439.490476190476,4686.681339314759,8.460832452304574
RSGASS,6,396,LinearRegression,12,9389.985714285716,11369.876155120008,16.156382336378318
RSGASS,12,0,Prophet,6,209.9007464059156,259.11516617573693,1.5780933550424208
RSGASS,12,0,Prophet,12,403.7022363207605,469.0957564251214,3.02059419153129
RSGASS,12,0,ARIMA,6,87.88892983983563,110.79701742376467,0.657049616278694
RSGASS,12,0,ARIMA,12,140.4306476593615,187.3735500182845,1.0416253746788449
RSGASS,12,0,LinearRegression,6,175.4999999999994,220.01854749680356,1.319260851467797
RSGASS,12,0,LinearRegression,12,353.10256410256335,415.7355337515282,2.642272315544421
RSGASS,12,195,Prophet,6,11419.230058715724,12628.448553323147,34.27157444300524
RSGASS,12,195,Prophet,12,19280.86611860927,21350.428334258286,54.14152110210991
RSGASS,12,195,ARIMA,6,3774.2380976912787,4357.767810933964,11.231102289208327
RSGASS,12,195,ARIMA,12,5870.036715888066,6449.207474111146,16.47906819071172
RSGASS,12,195,LinearRegression,6,11459.226689976678,12659.108057224848,34.39794015329169
RSGASS,12,195,LinearRegression,12,19310.607808857796,21372.91437837539,54.23139072080906
RSGASS,12,390,Prophet,6,3254.4390513615194,3447.6422629528547,6.2011549661742436
RSGASS,12,390,Prophet,12,7538.813254876176,9457.98939436761,12.88718289849338
RSGASS,12,390,ARIMA,6,1763.161440768301,1841.376007105959,3.3606287890500153
RSGASS,12,390,ARIMA,12,4898.828107434968,6698.2985437908355,8.250345462364999
RSGASS,12,390,LinearRegression,6,1826.1217948717956,1963.803263769963,3.4774835973274647
RSGASS,12,390,LinearRegression,12,5346.134615384615,7280.587168683048,9.010161526128972
RSGASS,24,0,Prophet,6,238.17270501161207,281.62049338745516,1.748031651603511
RSGASS,24,0,Prophet,12,386.2655328515364,473.30805295127635,2.703833205167575
RSGASS,24,0,ARIMA,6,189.70952439200028,226.03566384500144,1.3775324552249724
RSGASS,24,0,ARIMA,12,610.2720849520069,757.3342032439016,4.227624391930425
RSGASS,24,0,LinearRegression,6,97.71920289855068,136.03544070251178,0.7183587371285717
RSGASS,24,0,LinearRegression,12,279.5144927536233,349.24934977966484,1.9416806487963048
RSGASS,24,189,Prophet,6,15552.131176948329,15845.378546481528,42.333550456637006
RSGASS,24,189,Prophet,12,13187.182023770183,13717.469724223456,36.03086780362914
RSGASS,24,189,ARIMA,6,1978.821947016849,2157.777339451625,5.354157108940034
RSGASS,24,189,ARIMA,12,1857.549595236751,2011.4598402629624,5.050522832683535
RSGASS,24,189,LinearRegression,6,8682.695289855072,8873.677025983001,23.633869669610664
RSGASS,24,189,LinearRegression,12,10507.609347826085,10780.125448314935,28.773527269533822
RSGASS,24,378,Prophet,6,9750.94326469648,9847.09704521966,18.619452530232785
RSGASS,24,378,Prophet,12,13801.351538096576,14889.514117072036,24.278162616619912
RSGASS,24,378,ARIMA,6,1702.5510977975998,1782.7651686552442,3.2447927204886624
RSGASS,24,378,ARIMA,12,4837.332428461141,6652.94986908835,8.138829508589152
RSGASS,24,378,LinearRegression,6,2217.0692028985527,2357.2263932440524,4.223557317989284
RSGASS,24,378,LinearRegression,12,5886.758043478262,7782.724037420839,9.971176832382888
RSGASS,60,0,Prophet,6,435.64625922868254,502.6458957804889,2.6462846619024067
RSGASS,60,0,Prophet,12,637.5312793972756,713.1422186725902,3.875110087365754
RSGASS,60,0,ARIMA,6,253.06470082235805,263.9341659399408,1.5218989531329905
RSGASS,60,0,ARIMA,12,195.11566204694554,222.70177262248038,1.179815069380135
RSGASS,60,0,LinearRegression,6,352.63576919514645,394.6940491882219,2.1140345590553498
RSGASS,60,0,LinearRegression,12,361.61621746781566,406.81548754003813,2.1861426893773617
RSGASS,60,171,Prophet,6,6596.90527776679,6715.000260188529,14.720212751608283
RSGASS,60,171,Prophet,12,7081.261498723204,7168.04443120397,15.605571228955405
RSGASS,60,171,ARIMA,6,917.166983696432,946.6169288690207,2.0437137332711024
RSGASS,60,171,ARIMA,12,1458.6109745288188,1711.0785233029785,3.178738575145306
RSGASS,60,171,LinearRegression,6,7073.330554783738,7077.07549157653,15.78013456920557
RSGASS,60,171,LinearRegression,12,7569.868180976199,7617.838129994988,16.657863494846524
RSGASS,60,342,Prophet,6,3625.5303350383037,3935.9734657490408,6.90436299260913
RSGASS,60,342,Prophet,12,7413.528639133471,8942.635967858594,12.76892483833961
RSGASS,60,342,ARIMA,6,1726.9629622423101,1806.5507096062072,3.291434667682088
RSGASS,60,342,ARIMA,12,4862.376190537934,6671.5401497264875,8.184211069522988
RSGASS,60,342,LinearRegression,6,5314.214828193016,5324.481042195297,10.165657250588577
RSGASS,60,342,LinearRegression,12,4643.724059152233,4894.283009193195,8.582233528739904
RSFHFS,6,0,Prophet,6,88.63219260626875,97.86527257550964,2.1197033907356873
RSFHFS,6,0,Prophet,12,68.93912812011293,82.55568984951482,1.6186961705011418
RSFHFS,6,0,ARIMA,6,35.87084085284763,43.69292237557618,0.8581670383119825
RSFHFS,6,0,ARIMA,12,111.7703066316642,143.69224553971037,2.549578449829075
RSFHFS,6,0,LinearRegression,6,98.40952380952376,107.28399973266961,2.352691803075148
RSFHFS,6,0,LinearRegression,12,76.75079365079357,88.66823434755489,1.8037090464774364
RSFHFS,6,198,Prophet,6,92.99786338057159,126.26005906938275,1.348198418011772
RSFHFS,6,198,Prophet,12,306.8976439274231,400.34035668166996,4.511894011401888
RSFHFS,6,198,ARIMA,6,282.46553790016605,308.0363021375297,4.090738186064629
RSFHFS,6,198,ARIMA,12,369.96553790016605,391.01044218847386,5.418648282332943
RSFHFS,6,198,LinearRegression,6,355.6380952380957,414.56754004718124,5.138624819999761
RSFHFS,6,198,LinearRegression,12,786.6238095238099,932.5933293316185,11.543345193543047
RSFHFS,6,396,Prophet,6,154.7327367981737,181.5561873644265,1.3683461308730425
RSFHFS,6,396,Prophet,12,345.0083920130431,430.43878135684923,3.0644645127624144
RSFHFS,6,396,ARIMA,6,216.15212392750195,243.11236183479386,1.9379976917910828
RSFHFS,6,396,ARIMA,12,173.9134206091885,213.50064148434885,1.5629907489619173
RSFHFS,6,396,LinearRegression,6,121.23809523809571,162.5263783927688,1.0799763272406888
RSFHFS,6,396,LinearRegression,12,165.62857142857138,214.935709419522,1.47103740340121
RSFHFS,12,0,Prophet,6,185.71107410694745,196.1850397056622,4.19700215061592
RSFHFS,12,0,Prophet,12,222.40934625795572,230.20866009486144,4.9795441726630605
RSFHFS,12,0,ARIMA,6,183.93870272976497,194.9316168578041,4.156247746377692
RSFHFS,12,0,ARIMA,12,229.68870272976497,239.18537417082572,5.140558518121007
RSFHFS,12,0,LinearRegression,6,164.32750582750623,175.732360549262,3.711875676417394
RSFHFS,12,0,LinearRegression,12,190.797785547786,197.87242371652633,4.271881643238803
RSFHFS,12,195,Prophet,6,462.928540123097,505.49461466506074,6.785441292374372
RSFHFS,12,195,Prophet,12,892.5875606740668,1029.1265318937235,13.016011098796232
RSFHFS,12,195,ARIMA,6,139.03637130554398,145.15328924525542,2.0291240891861224
RSFHFS,12,195,ARIMA,12,152.046002856609,170.86797508917817,2.2095565927679575
RSFHFS,12,195,LinearRegression,6,497.3490675990677,540.0541097513989,7.289367990335027
RSFHFS,12,195,LinearRegression,12,941.1043123543126,1079.4516592093778,13.724309688682975
RSFHFS,12,390,Prophet,6,124.89864289488348,164.3303785819951,1.1142665043862123
RSFHFS,12,390,Prophet,12,164.9784836314093,210.03882231752814,1.4665046718831969
